ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
33,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
34,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
35,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
36,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
37,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
38,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
39,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
40,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
41,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
42,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
43,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
44,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
45,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
46,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
47,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
48,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
49,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
50,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
51,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
52,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
53,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
54,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
55,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
56,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
57,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
58,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
59,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
60,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
61,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
62,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
63,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
64,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
65,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
66,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
67,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
68,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
69,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
70,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
71,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
72,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
73,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
74,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
75,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
76,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
77,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
78,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
79,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
80,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR antagonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
